DATAFLOW,LAST UPDATE,freq,unit,isced97,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,TOTAL,CH,2001,3580076.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,TOTAL,CH,1991,4407353.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,TOTAL,CH,2001,3450034.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,TOTAL,CH,1991,7027527.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,TOTAL,CH,2001,7030110.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,F,TOTAL,CH,1991,0.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,F,TOTAL,CH,2001,706263.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,M,TOTAL,CH,1991,0.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,M,TOTAL,CH,2001,679199.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,T,TOTAL,CH,1991,0.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,T,TOTAL,CH,2001,1385462.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,F,TOTAL,CY,2001,114670.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,M,TOTAL,CY,2001,102055.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,T,TOTAL,CY,2001,216725.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,F,TOTAL,CY,2001,92401.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,M,TOTAL,CY,2001,98960.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,T,TOTAL,CY,2001,191361.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,F,TOTAL,CY,2001,62002.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,M,TOTAL,CY,2001,58729.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,T,TOTAL,CY,2001,120731.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,TOTAL,CY,2001,269937.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,TOTAL,CY,2001,260714.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,TOTAL,CY,2001,542087.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,F,TOTAL,CY,2001,864.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,M,TOTAL,CY,2001,970.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,T,TOTAL,CY,2001,1385.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,F,TOTAL,CZ,2001,1292032.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,M,TOTAL,CZ,2001,683077.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,T,TOTAL,CZ,2001,1975109.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,F,TOTAL,CZ,2001,2701610.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,M,TOTAL,CZ,2001,2876821.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,T,TOTAL,CZ,2001,5578431.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,F,TOTAL,CZ,2001,375205.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,M,TOTAL,CZ,2001,495394.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,T,TOTAL,CZ,2001,870599.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,TOTAL,CZ,2001,4420682.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,TOTAL,CZ,2001,4116584.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,TOTAL,CZ,2001,8537266.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,F,TOTAL,CZ,2001,51835.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,M,TOTAL,CZ,2001,61292.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,T,TOTAL,CZ,2001,113127.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,F,TOTAL,DK,2001,828573.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,M,TOTAL,DK,2001,711309.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,T,TOTAL,DK,2001,1539882.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,F,TOTAL,DK,2001,786452.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,M,TOTAL,DK,2001,915634.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,T,TOTAL,DK,2001,1702086.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,F,TOTAL,DK,2001,413280.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,M,TOTAL,DK,2001,376617.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,T,TOTAL,DK,2001,789897.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,TOTAL,DK,2001,2222328.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,TOTAL,DK,2001,2134884.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,TOTAL,DK,2001,4357212.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,F,TOTAL,DK,2001,194023.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,M,TOTAL,DK,2001,131324.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,T,TOTAL,DK,2001,325347.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,F,TOTAL,EE,2001,201309.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,M,TOTAL,EE,2001,187321.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,T,TOTAL,EE,2001,388630.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,F,TOTAL,EE,2001,248215.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,M,TOTAL,EE,2001,216069.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,T,TOTAL,EE,2001,464284.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,F,TOTAL,EE,2001,165265.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,M,TOTAL,EE,2001,100828.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,T,TOTAL,EE,2001,266093.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,TOTAL,EE,2001,629487.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,TOTAL,EE,2001,517355.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,TOTAL,EE,2001,1146842.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,F,TOTAL,EE,2001,14698.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,M,TOTAL,EE,2001,13137.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,UNK,T,TOTAL,EE,2001,27835.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,F,TOTAL,EL,1991,2557804.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,F,TOTAL,EL,2001,2847068.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,M,TOTAL,EL,1991,2241167.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,M,TOTAL,EL,2001,2751286.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,T,TOTAL,EL,1991,4798971.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,T,TOTAL,EL,2001,5598354.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,F,TOTAL,EL,1991,1015774.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,F,TOTAL,EL,2001,1510899.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,M,TOTAL,EL,1991,1010048.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,M,TOTAL,EL,2001,1550924.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,T,TOTAL,EL,1991,2025822.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,T,TOTAL,EL,2001,3061823.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,F,TOTAL,EL,1991,321166.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,F,TOTAL,EL,2001,580745.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,M,TOTAL,EL,1991,427352.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,M,TOTAL,EL,2001,684423.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,T,TOTAL,EL,1991,748518.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED5_6,T,TOTAL,EL,2001,1265168.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,TOTAL,EL,1991,3894744.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,TOTAL,EL,2001,4938712.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,TOTAL,EL,1991,3678567.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,TOTAL,EL,2001,4986633.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,TOTAL,EL,1991,7573311.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,TOTAL,EL,2001,9925345.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,F,TOTAL,ES,1991,6339629.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,F,TOTAL,ES,2001,13703148.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,M,TOTAL,ES,1991,5710638.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,M,TOTAL,ES,2001,13242803.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,T,TOTAL,ES,1991,12050267.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED0-2,T,TOTAL,ES,2001,26945951.00,
ESTAT:CENS_HNELEV(1.0),25/04/14 11:00:00,A,PER,ED3_4,F,TOTAL,ES,1991,3977102.00,
